"departement","commune","unit.type","location","latitude","longitude","start.date","sheep.measuring.units","sheep.susceptible","sheep.cases","sheep.deaths","sheep.destroyed","sheep.slaughtered","cattle.measuring.units","cattle.susceptible","cattle.cases","cattle.deaths","cattle.destroyed","cattle.slaughtered","goat.measuring.units","goat.susceptible","goat.cases","goat.deaths","goat.destroyed","goat.slaughtered","remark"
"SEINE-MARITIME","Saint-Martin-en-Campagne","Farm","Saint-Martin-en-Campagne","49.95","1.233333","20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"VIENNE","Mauprévoir","Farm","Mauprévoir","46.166667","0.516667","20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"HAUTE-VIENNE","Saint-Georges-les-Landes","Farm","Saint-Georges-les-Landes n°1","46.35","1.333333","20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"HAUTE-VIENNE","Glanges","Farm","Glanges","45.666667","1.45","20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"MARNE","Outines","Farm","Outines","48.55","4.65","20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"VIENNE","MOUTERRE-SUR-BLOURDE","Farm","MOUTERRE-SUR-BLOURDE","46.2","0.75","20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"HAUTE-VIENNE","La Bazeuge","Farm","La Bazeuge","46.25","1.1","20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"CHARENTE","Pressignac","Farm","Pressignac","45.833333","0.733333","20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"VIENNE","Saint-Pierre-de-Maillé","Farm","Saint-Pierre-de-Maillé","46.683333","0.85","20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"VIENNE","Saint-Léomer","Farm","Saint-Léomer","46.433333","1","20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"HAUTE-VIENNE","Saint-Georges-les-Landes","Farm","Saint-Georges-les-Landes n°2","46.35","1.333333","20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"MOSELLE","Condé-Northen","Farm","Condé-Northen","49.166667","6.433333","20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"HAUTE-VIENNE","Magnac-Laval","Farm","Magnac-Laval","46.216667","1.166667","20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"HAUTE-VIENNE","Mézières-sur-Issoire","Farm","Mézières-sur-Issoire","46.1","0.916667","20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"VOSGES","Punerot","Farm","Punerot","48.483333","5.816667","20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"INDRE","OULCHES","Farm","OULCHES","46.616667","1.3","20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"HAUTE-VIENNE","Dinsac","Farm","Dinsac","46.233333","1.116667","20/02/2012",NA,NA,NA,NA,NA,NA,"Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"SOMME","Montauban-de-Picardie","Farm","Montauban-de-Picardie","50","2.783333","20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"VOSGES","Senonges","Farm","Senonges","48.15","6.066667","20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"CHARENTE","CONFOLENS","Farm","CONFOLENS","46.016667","0.666667","20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"VIENNE","Vernon","Farm","Vernon","46.45","0.483333","20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"VIENNE","Adriers","Farm","Adriers","46.25","0.8","20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"VIENNE","Gizay","Farm","Gizay","46.433333","0.416667","20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"MEUSE","Villécloye","Farm","Villécloye","49.516667","5.4","20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"AUBE","Morvilliers","Farm","Morvilliers","48.383333","4.616667","20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"VOSGES","Houéville","Farm","Houéville","48.366667","5.816667","20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"YONNE","Andryes","Farm","Andryes","47.516667","3.483333","20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"CHARENTE","Lesterps","Farm","Lesterps","46.016667","0.783333","20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"HAUTE-VIENNE","Blond","Farm","Blond","46.05","1.016667","20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"VIENNE","BRIGUEIL-LE-CHANTRE","Farm","BRIGUEIL-LE-CHANTRE","46.4","1.083333","20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"VIENNE","USSON-DU-POITOU","Farm","USSON-DU-POITOU","46.283333","0.533333","20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"YONNE","Beauvilliers","Farm","Beauvilliers","47.416667","4.033333","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"YONNE","Précy-sur-Vrin","Farm","Précy-sur-Vrin","47.966667","3.25","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"CALVADOS","Saint-Martin-aux-Chartrains","Farm","Saint-Martin-aux-Chartrains","49.316667","0.15","21/02/2012",NA,NA,NA,NA,NA,NA,"Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"MEURTHE-ET-MOSELLE","Maixe","Farm","Maixe","48.65","6.433333","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"MEUSE","Thonne-le-Thil","Farm","Thonne-le-Thil","49.583333","5.35","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"NORD","Avesnelles","Farm","Avesnelles","50.116667","3.95","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"NORD","Rumegies","Farm","Rumegies","50.483333","3.35","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"SOMME","Biarre","Farm","Biarre","49.716667","2.866667","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"SEINE-MARITIME","Saint-Vincent-Cramesnil","Farm","Saint-Vincent-Cramesnil","49.5","0.366667","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"HAUTE-VIENNE","Magnac-Laval","Farm","Magnac-Laval","46.216667","1.166667","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"INDRE","LE PECHEREAU","Farm","LE PECHEREAU","46.583333","1.55","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"CHARENTE","Oradour-Fanais","Farm","Oradour-Fanais","46.116667","0.783333","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"MEURTHE-ET-MOSELLE","Vaudeville","Farm","Vaudeville","48.466667","6.2","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"SEINE-MARITIME","Baons-le-Comte","Farm","Baons-le-Comte","49.65","0.783333","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"HAUTE-MARNE","Marcilly-en-Bassigny","Farm","Marcilly-en-Bassigny","47.9","5.516667","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"HAUTE-MARNE","Anrosey","Farm","Anrosey","47.833333","5.666667","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"MEUSE","Trémont-sur-Saulx","Farm","Trémont-sur-Saulx","48.75","5.05","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"NIÈVRE","Donzy","Farm","Donzy","47.283333","3.233333","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"SEINE-MARITIME","Hugleville-en-Caux","Farm","Hugleville-en-Caux","49.633333","0.983333","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"VIENNE","Saulgé","Farm","Saulgé n°5","46.383333","0.883333","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"VOSGES","Belrupt","Farm","Belrupt","48.083333","6.1","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"ARDENNES","Euilly-et-Lombut","Farm","Euilly-et-Lombut n°1","49.633333","5.116667","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"ARDENNES","Euilly-et-Lombut","Farm","Euilly-et-Lombut n°2","49.633333","5.116667","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"ALLIER","Avermes","Farm","Avermes","46.583333","3.3","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"PAS-DE-CALAIS","CREQUY","Farm","CREQUY","50.483333","2.05","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"VIENNE","LATHUS-SAINT-REMY","Farm","LATHUS-SAINT-REMY","46.383333","0.883333","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"INDRE-ET-LOIRE","abilly","Farm","abilly","46.916667","0.8","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"CALVADOS","Aunay-sur-Odon","Farm","Aunay-sur-Odon","49.016667","-0.633333","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"HAUTE-MARNE","Chevillon","Farm","Chevillon","48.533333","5.133333","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"HAUTE-MARNE","Val-de-Meuse","Farm","Val-de-Meuse","47.983333","5.566667","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"HAUTE-MARNE","Dammartin-sur-Meuse","Farm","Dammartin-sur-Meuse","48.15","5.566667","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"MOSELLE","Haboudange","Farm","Haboudange","48.883333","6.616667","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"VIENNE","Saulgé","Farm","Saulgé n°1","46.383333","0.883333","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"VIENNE","Saulgé","Farm","Saulgé n°3","46.383333","0.883333","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"VIENNE","Le Vigeant","Farm","Le Vigeant n°1","46.233333","0.65","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"YONNE","Sainte-Colombe","Farm","Sainte-Colombe","47.566667","3.233333","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"HAUTE-MARNE","Marault","Farm","Marault","48.183333","5.1","21/02/2012",NA,NA,NA,NA,NA,NA,"Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"OISE","Saint-Quentin-des-Prés","Farm","Saint-Quentin-des-Prés","49.516667","1.75","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"YONNE","Saints","Farm","Saints","47.616667","3.266667","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"ORNE","Neuville-sur-Touques","Farm","Neuville-sur-Touques","48.85","0.283333","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"MAYENNE","Grez-en-Bouère","Farm","Grez-en-Bouère","47.883333","-0.516667","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"MEURTHE-ET-MOSELLE","Crion","Farm","Crion","48.633333","6.533333","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"MEURTHE-ET-MOSELLE","Mattexey","Farm","Mattexey","48.45","6.516667","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"HAUTE-VIENNE","Oradour-Saint-Genest","Farm","Oradour-Saint-Genest","46.233333","1.033333","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"HAUTE-MARNE","Serqueux","Farm","Serqueux","47.983333","5.733333","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"ARDENNES","Givron","Farm","Givron n°2","49.65","4.283333","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"VIENNE","Coulonges","Farm","Coulonges","46.4","1.083333","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"ARDENNES","Vandy","Farm","Vandy","49.433333","4.716667","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"HAUTE-VIENNE","Saint-Barbant","Farm","Saint-Barbant","46.166667","0.85","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"SEINE-MARITIME","La Cerlangue","Farm","La Cerlangue","49.5","0.416667","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"ARDENNES","Givron","Farm","Givron n°1","49.65","4.283333","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"MEURTHE-ET-MOSELLE","Clérey-sur-Brénon","Farm","Clérey-sur-Brénon","48.5","6.133333","21/02/2012",NA,NA,NA,NA,NA,NA,"Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"HAUTE-VIENNE","Blanzac","Farm","Blanzac","46.133333","1.116667","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"VIENNE","NOUAILLE-MAUPERTUIS","Farm","NOUAILLE-MAUPERTUIS","46.516667","0.416667","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"ORNE","ginai","Farm","ginai","48.766667","0.183333","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"HAUTE-MARNE","Nogent","Farm","Nogent","48.033333","5.45","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"CALVADOS","formigny","Farm","formigny","49.333333","-0.9","21/02/2012",NA,NA,NA,NA,NA,NA,"Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"VIENNE","La Chapelle-Montreuil","Farm","La Chapelle-Montreuil","46.55","0.15","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"VIENNE","Saulgé","Farm","Saulgé n°4","46.383333","0.883333","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"YONNE","Saint-Martin-sur-Ouanne","Farm","Saint-Martin-sur-Ouanne","47.833333","3.1","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"LOIRET","Bonny-sur-Loire","Farm","Bonny-sur-Loire","47.566667","2.833333","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"PAS-DE-CALAIS","Attin","Farm","Attin","50.483333","1.75","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"AUBE","Sommeval","Farm","Sommeval","48.166667","3.966667","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"OISE","Blicourt","Farm","Blicourt","49.55","2.05","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"HAUTE-VIENNE","Les Grands Chézeaux","Farm","Les Grands Chézeaux","46.35","1.4","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"VOSGES","Trémonzey","Farm","Trémonzey","47.966667","6.233333","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"NORD","Wignehies","Farm","Wignehies","50.016667","4","21/02/2012",NA,NA,NA,NA,NA,NA,"Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"NORD","Fontaine-au-Bois","Farm","Fontaine-au-Bois","50.15","3.65","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"VIENNE","Le Vigeant","Farm","Le Vigeant n°2","46.233333","0.65","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"HAUTE-MARNE","semoutiers","Farm","semoutiers","48.116667","5.133333","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"VIENNE","ADRIERS","Farm","ADRIERS","46.25","0.8","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"CALVADOS","Clinchamps-sur-Orne","Farm","Clinchamps-sur-Orne","49.083333","-0.4","21/02/2012",NA,NA,NA,NA,NA,NA,"Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"ORNE","Saint-Julien-sur-Sarthe","Farm","Saint-Julien-sur-Sarthe","48.483333","0.35","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"HAUTE-MARNE","Beurville","Farm","Beurville","48.316667","4.833333","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"ORNE","Coulonges-sur-Sarthe","Farm","Coulonges-sur-Sarthe","48.533333","0.4","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"VIENNE","Saulgé","Farm","Saulgé n°2","46.383333","0.883333","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"ARDENNES","Carignan","Farm","Carignan bis","49.633333","5.166667","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"HAUTE-VIENNE","Saint-Bonnet-de-Bellac","Farm","Saint-Bonnet-de-Bellac","46.166667","0.95","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"VIENNE","charroux","Farm","charroux","46.15","0.4","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"ORNE","Vingt-Hanaps","Farm","Vingt-Hanaps","48.516667","0.133333","21/02/2012",NA,NA,NA,NA,NA,NA,"Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"NORD","Quaëdypre","Farm","Quaëdypre","50.933333","2.466667","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"HAUTE-MARNE","Blessonville","Farm","Blessonville","48.066667","5","21/02/2012",NA,NA,NA,NA,NA,NA,"Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"HAUTE-MARNE","Chalindrey","Farm","Chalindrey","47.8","5.433333","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"AISNE","Dercy","Farm","Dercy","49.7","3.683333","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"ARDENNES","Carignan","Farm","Carignan","49.633333","5.166667","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"MOSELLE","moussey","Farm","moussey","48.716667","6.766667","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"HAUTE-MARNE","Romain-sur-Meuse","Farm","Romain-sur-Meuse","48.166667","5.533333","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"HAUTE-VIENNE","Saint-Priest-Ligoure","Farm","Saint-Priest-Ligoure","45.65","1.3","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"ARDENNES","Thénorgues","Farm","Thénorgues","49.4","4.933333","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"DEUX-SÈVRES","Les Forges","Farm","Les Forges","46.55","-0.033333","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"PAS-DE-CALAIS","Morval","Farm","Morval","50.05","2.916667","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"MEUSE","Montiers-sur-Saulx","Farm","Montiers-sur-Saulx","48.533333","5.266667","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"VIENNE","JOURNET","Farm","JOURNET","46.466667","0.966667","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"HAUTE-VIENNE","Châteauponsac","Farm","Châteauponsac","46.133333","1.283333","21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
